Course Code,Title,Department,Credits,Description,Prerequisites,Typically Offered,Last Offered (Catalog),Offered Fall 2026?,Min GPA Required,Notes,Catalog URL
VSB 1015,Business Dynamics,VSB,3,"Explores the dynamic nature of business in a changing environment. Cross-functional view of business and contribution of functions to accomplish vision. Integrates global, ethical, and technological dimensions. Emphasizes innovation as a business and personal skill.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required for all VSB freshmen,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-1015
VSB 2004,Financial Accounting,VSB,3,"Introduces generally accepted accounting principles and both the creation and analysis of financial statements. Students are exposed to the importance of accounting in making decisions related to business, investing, and financing.",None,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Required VSB core. Typically taken spring freshman year.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2004
VSB 2006,Introduction to MIS,VSB,3,Strategic alignment of business and information technology (IT); managing IT as a strategic resource; strategies for sourcing IT development and services.,"VSB 1000, ECO 1001, ECO 1002, VSB 1015","Fall, Spring, Summer","Fall 2026, Summer 2026, Spring 2026, Fall 2025",Yes,None,Required VSB core. Gateway course for MIS major.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2006
VSB 2007,Corporate Responsibility & Regulation,VSB,3,"Contemporary issues and topics impacting the business environment with focus on corporate responsibility, ethical decision-making, and legal regulation of business activity.",None,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required VSB core.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2007
VSB 2008,Business Analytics,VSB,3,"Fundamentals of data analysis and quantitative decision-making for business. Covers statistical reasoning, data visualization, and analytical tools applied to real business scenarios.","MAT 1500, STAT 1430","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required VSB core.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2008
VSB 2009,Principles of Finance,VSB,3,The theory and techniques of financial management. Financial markets; financial statements and analysis; time value of money; interest rates; bond valuation; risk and return; equity valuation; cost of capital; capital budgeting; working capital management.,VSB 2004,"Fall, Spring","Fall 2026, Spring 2026, Summer 2026, Fall 2025",Yes,None,Restricted to VSB students and Business Minors.,https://live-villanova-catalog.cleancatalog.io/finance/vsb-2009
VSB 2014,Principles of Managerial Accounting,VSB,3,How management accounting information can be used to help firms achieve strategic goals and profitability objectives. Use of an entrepreneurial perspective to examine how managers apply risk measurement and management techniques to business planning and control systems.,VSB 2004,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required VSB core.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2014
VSB 2020,Competitive Effectiveness,VSB,6,Explores value creation for stakeholders and establishing competitive advantage; how goods/services are developed to meet customer/consumer needs. Satisfies Intro to Management and Intro to Marketing requirements.,"VSB 1015, VSB 2004, VSB 2006, VSB 2009","Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,6-credit integrated course. Required VSB core.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-2020
VSB 3000,Backpack-to-Briefcase: JR Seminar,VSB,1,"Professional development program combining class sessions and out-of-class activities focused on career exploration, job search skills, and soft skills. Culminates in an internal case competition.",VSB 2000,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required 1-credit junior professional development course.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-3000
VSB 3008,Operations & Supply Chain Management,VSB,3,"Provides an understanding of the critical role and contributions made by operations managers in manufacturing and service firms, including decision making, forecasting, resource allocation, project management, quality, and materials management.",VSB 2008,"Fall, Spring","Fall 2026, Spring 2026, Fall 2025, Spring 2025",Yes,None,Required VSB core. Typically taken junior year.,https://live-villanova-catalog.cleancatalog.io/villanova-school-of-business/vsb-3008
